Company Name,Industry,Size (Revenue),Size (Employees),SAP Usage,Compliance Pressure,Decision Maker Title,LinkedIn Search Query,Key Notes
CATL (Contemporary Amperex Technology Co.),Battery Manufacturing,$50B+,"200,000+",SAP S/4HANA (confirmed - global ERP rollout 2022-2024),CRITICAL,"VP Supply Chain Operations / Head of Digital Transformation","""CATL"" (""Vice President Supply Chain"" OR ""VP Operations"" OR ""Head of Digital"") SAP","World's largest EV battery maker. Based in China, massive EU exposure. Deadline miss = losing BMW/Mercedes contracts."
LG Energy Solution (LG Chem spin-off),Battery Manufacturing,$20B,"30,000",SAP S/4HANA (LG Group standard ERP),CRITICAL,"Head of Global Supply Chain / Director of IT (Manufacturing)","""LG Energy Solution"" (""Supply Chain Director"" OR ""IT Director Manufacturing"") Poland","Major Tesla/GM supplier. Polish plant serves EU market directly."
Panasonic Energy (formerly Panasonic Battery Division),Battery Manufacturing,$8B,"15,000",SAP S/4HANA (Panasonic corporate standard),CRITICAL,"VP of Compliance & Sustainability / CIO Energy Division","""Panasonic Energy"" (CIO OR ""VP Compliance"" OR ""Sustainability Director"")","Tesla's primary battery partner. Norway plant requires EU DPP."
Samsung SDI,Battery Manufacturing,$12B,"25,000",SAP S/4HANA (Samsung Group enterprise system),CRITICAL,"Head of SCM Europe / VP IT & Digital Transformation","""Samsung SDI"" (""VP Supply Chain"" OR ""Head of SCM Europe"") Hungary","Hungary plant is EU compliance ground zero. BMW contract requires DPP."
BYD (Build Your Dreams),Battery Manufacturing,$60B,"600,000",SAP S/4HANA (confirmed 2023 implementation),HIGH,"GM Europe Operations / Chief Digital Officer","""BYD"" (""General Manager Europe"" OR ""CDO"" OR ""Digital Transformation"") SAP","Chinese EV giant entering EU. DPP needed for market access."
SK On (SK Innovation Battery Unit),Battery Manufacturing,$10B,"12,000",SAP S/4HANA (SK Group standard),CRITICAL,"VP Manufacturing Excellence / Head of Digital Innovation","""SK On"" OR ""SK Innovation Battery"" (""VP Manufacturing"" OR ""Head of Digital"")","Ford F-150 Lightning battery supplier. EU plant = immediate DPP need."
Northvolt AB,Battery Manufacturing,"$500M (startup, $14B valuation)","4,000",SAP S/4HANA (implemented 2021 for scale-up),CRITICAL,"Head of Operations / Chief Technology Officer","""Northvolt"" (CTO OR ""Head of Operations"" OR ""VP Supply Chain"")","EU's homegrown battery champion. Must lead on compliance."
CALB (China Aviation Lithium Battery),Battery Manufacturing,$3B,"8,000",SAP ECC (migrating to S/4HANA 2025-2026),HIGH,"Director of International Operations / Head of IT","""CALB"" OR ""China Aviation Lithium Battery"" (""Director Operations"" OR ""IT Director"")","Commercial vehicle focus. SAP migration = perfect timing for PhotonicTag."
A123 Systems (Wanxiang subsidiary),Battery Manufacturing,$500M,"2,500",SAP S/4HANA (parent company Wanxiang standard),MEDIUM,"VP Operations North America / IT Director","""A123 Systems"" (""VP Operations"" OR ""IT Director"") SAP","US-based but owned by Chinese firm. Good pilot candidate."
Envision AESC,Battery Manufacturing,$2B,"5,000",SAP S/4HANA (confirmed in investor materials),CRITICAL,"Chief Supply Chain Officer / VP Digital","""Envision AESC"" (""Chief Supply Chain"" OR ""VP Digital"" OR CSCO)","Former Nissan battery unit. UK/France plants require DPP for EU exports."
EnerSys,Battery Manufacturing,$3.2B,"10,000",SAP S/4HANA (confirmed Q3 2023 earnings call),MEDIUM,"SVP Operations / CIO","EnerSys (CIO OR ""SVP Operations"") SAP","US industrial battery leader. EU compliance needed for expansion."
Saft (TotalEnergies subsidiary),Battery Manufacturing,$850M,"4,200",SAP S/4HANA (TotalEnergies corporate standard),CRITICAL,"Managing Director / VP Industrial Operations","Saft TotalEnergies (""Managing Director"" OR ""VP Industrial"")","Specialty battery maker. French HQ = high regulatory sensitivity."
Freudenberg (Varta subset),Battery Manufacturing,"$12B (parent)","51,000",SAP S/4HANA (Freudenberg Group ERP),CRITICAL,"Head of Battery Division / CIO Industrial Solutions","""Freudenberg Varta"" OR ""Freudenberg Battery"" (CIO OR ""Division Head"")","German engineering giant. DPP is reputational imperative."
Gotion High-Tech,Battery Manufacturing,$4B,"15,000",SAP S/4HANA (2024 implementation),HIGH,"GM International Markets / VP IT","""Gotion High-Tech"" (""General Manager"" OR ""VP IT"") VW","VW's Chinese battery partner. EU expansion requires DPP."
Clarios (formerly Johnson Controls Power Solutions),Battery Manufacturing,$8.8B,"16,000",SAP S/4HANA (migrated 2022),MEDIUM,"SVP Global Operations / Chief Digital & Technology Officer","Clarios (""SVP Operations"" OR CDTO OR ""Chief Digital"") SAP","Lead-acid + lithium. EU plants need DPP for compliance."
Murata Manufacturing (Sony battery unit acquired),Battery Manufacturing,$15B,"75,000",SAP S/4HANA (Murata corporate ERP),MEDIUM,"GM Battery Division / CIO","""Murata Manufacturing"" (CIO OR ""GM Battery"" OR ""Division General Manager"")","Small format Li-ion. EU consumer electronics = DPP needed."
EVE Energy,Battery Manufacturing,$3.5B,"12,000",SAP ECC (S/4HANA migration planned 2026),HIGH,"Director of Export Operations / IT Manager","""EVE Energy"" (""Director Export"" OR ""IT Manager"") Europe","Consumer battery focus. EU exports growing = compliance urgency."
Microvast,Battery Manufacturing,$200M,"1,800",SAP Business One (planning S/4HANA upgrade),HIGH,"CEO (small company) / VP Operations Europe","Microvast (CEO OR ""VP Operations Europe"")","German-Chinese-American startup. Germany HQ = high compliance awareness."
Farasis Energy,Battery Manufacturing,$800M,"4,000",SAP S/4HANA (implemented for Mercedes partnership),CRITICAL,"Chief Operating Officer / Head of EU Operations","""Farasis Energy"" (COO OR ""Head of EU"" OR ""Mercedes"")","Mercedes partnership = DPP non-negotiable for contract renewal."
Britishvolt (in administration),Battery Manufacturing (Case Study),Defunct,Defunct,N/A (never operational),CASE STUDY,N/A (use as cautionary tale),N/A,"Use as example: 'Britishvolt couldn't navigate regulatory complexity. Don't let compliance drag slow you down.'"
Bosch (eBike Systems / Powertrain Solutions),Automotive / EV Supplier,$93B,"420,000",SAP S/4HANA (Bosch is SAP's largest customer),CRITICAL,"Head of Mobility Solutions / CDO Automotive","Bosch (""Head of Mobility"" OR CDO) Automotive SAP","Bosch IS the SAP reference customer. Perfect credibility play."
Continental AG,Automotive / EV Supplier,$42B,"200,000",SAP S/4HANA (enterprise-wide deployment),CRITICAL,"Head of BMS Division / SVP Digital Transformation","Continental (""SVP Digital"" OR ""Head of BMS"" OR ""Battery Management"")","Battery management systems = indirect DPP responsibility."
ZF Friedrichshafen,Automotive / EV Supplier,$43B,"165,000",SAP S/4HANA (global rollout 2020-2023),HIGH,"Head of E-Mobility / CIO","ZF Friedrichshafen (CIO OR ""Head of E-Mobility"") SAP","Tier-1 supplier. E-drive systems need component traceability."
Magna International,Automotive / EV Supplier,$38B,"171,000",SAP S/4HANA (migrated 2021-2023),HIGH,"SVP Manufacturing / Chief Procurement Officer","""Magna International"" (SVP OR CPO OR ""Chief Procurement"") SAP","Contract manufactures full EVs. DPP needed for OEM customers."
Denso Corporation,Automotive / EV Supplier,$45B,"170,000",SAP S/4HANA (Toyota Group aligned),MEDIUM,"GM Europe / VP IT & Digital Transformation","Denso (""GM Europe"" OR ""VP IT"" OR ""Digital Transformation"")","Japanese Tier-1. EU plants need compliance for Toyota/Honda exports."
Valeo,Automotive / EV Supplier,$20B,"111,000",SAP S/4HANA (French corporate standard),HIGH,"Head of Electrification / CIO","Valeo (CIO OR ""Head of Electrification"") SAP","French Tier-1. Charging systems = indirect DPP exposure."
Schaeffler Group,Automotive / EV Supplier,$16B,"83,000",SAP S/4HANA (German engineering standard),MEDIUM,"Head of E-Mobility / SVP Operations","Schaeffler (""SVP Operations"" OR ""E-Mobility Head"") SAP","German precision parts. Component traceability = competitive edge."
BorgWarner,Automotive / EV Supplier,$14B,"49,000",SAP S/4HANA (post-Delphi merger integration),HIGH,"VP Electrification / CIO","BorgWarner (""VP Electrification"" OR CIO) SAP","US Tier-1. EU plants need DPP for component exports."
Aptiv (formerly Delphi),Automotive / EV Supplier,$18B,"190,000",SAP S/4HANA (global ERP post-spin),MEDIUM,"SVP Advanced Safety & User Experience / CIO","Aptiv (CIO OR ""SVP Advanced Safety"") SAP","Electrical architecture = battery system integration."
Lear Corporation,Automotive / EV Supplier,$20B,"165,000",SAP S/4HANA (seating + e-systems divisions),LOW,"SVP E-Systems / VP Global Manufacturing","Lear Corporation (""SVP E-Systems"" OR ""VP Manufacturing"") SAP","Wiring harnesses for EV battery packs = indirect exposure."
Tenneco,Automotive / EV Supplier,$18B,"78,000",SAP S/4HANA (post-Federal-Mogul merger),LOW,"Chief Operating Officer / CIO","Tenneco (COO OR CIO) Electrification SAP","Traditional supplier pivoting to EV. DPP = future-proofing."
Hyundai Mobis,Automotive / EV Supplier,$36B,"32,000",SAP S/4HANA (Hyundai Group standard),HIGH,"Head of European Operations / CIO","""Hyundai Mobis"" (""Head of Europe"" OR CIO) SAP","Korean Tier-1. EU Hyundai/Kia plants need DPP support."
Vitesco Technologies (ex-Continental Powertrain),Automotive / EV Supplier,$9B,"40,000",SAP S/4HANA (Continental legacy system),CRITICAL,"Chief Technology Officer / Head of Operations","""Vitesco Technologies"" (CTO OR ""Head of Operations"") SAP","Spun out to focus on EV. DPP = core competency."
Marelli (formerly Magneti Marelli + Calsonic Kansei),Automotive / EV Supplier,$13B,"62,000",SAP S/4HANA (post-merger integration ongoing),MEDIUM,"CEO (Beda Bolzenius) / CIO","Marelli (CEO OR CIO OR ""Beda Bolzenius"") SAP","Japanese-Italian merger. EU plants = DPP needed."
Webasto,Automotive / EV Supplier,$4B,"16,000",SAP S/4HANA (German mid-cap standard),HIGH,"Head of EV Solutions / CTO","Webasto (CTO OR ""Head of EV Solutions"") SAP","Battery system integrator. DPP needed for OEM contracts."
Mahle,Automotive / EV Supplier,$12B,"72,000",SAP S/4HANA (German automotive standard),MEDIUM,"Head of E-Mobility / SVP IT","Mahle (""SVP IT"" OR ""E-Mobility Head"") SAP","German Tier-1. Thermal management for batteries = traceability need."
Hella (now Forvia Hella),Automotive / EV Supplier,$8B,"36,000",SAP S/4HANA (Forvia Group ERP),MEDIUM,"Managing Partner / CIO","""Forvia Hella"" (CIO OR ""Managing Partner"") SAP","Lighting leader. Electronics = component traceability."
Aisin (Toyota Group),Automotive / EV Supplier,$31B,"110,000",SAP S/4HANA (Toyota Group aligned),MEDIUM,"GM Overseas Operations / CIO","Aisin (CIO OR ""GM Overseas"") SAP Toyota","Toyota's main supplier. EU Toyota plants need DPP support."
JTEKT (steering / bearings),Automotive / EV Supplier,$12B,"50,000",SAP S/4HANA (Toyota Group legacy),LOW,"VP International Operations / CIO","JTEKT (CIO OR ""VP International"") SAP","Japanese Tier-1. Limited EU exposure but growing."
Autoliv,Automotive / EV Supplier,$9B,"65,000",SAP S/4HANA (safety systems focus),LOW,"SVP Operations / CIO","Autoliv (CIO OR ""SVP Operations"") SAP","Safety leader. Battery safety sensors = niche DPP use case."
Apple Inc.,Electronics Manufacturing,$394B,"164,000",SAP S/4HANA (supply chain modules - not financials),CRITICAL,"VP Operations (Sabih Khan) / VP Environment (Lisa Jackson)","Apple (""VP Operations"" OR ""VP Environment"" OR ""Sabih Khan"")","Apple doesn't use SAP publicly, but supply chain vendors do. Approach via supplier mandate."
Samsung Electronics,Electronics Manufacturing,$240B,"267,000",SAP S/4HANA (Samsung Group standard),CRITICAL,"Head of European Operations / CIO Mobile Division","""Samsung Electronics"" (""Head of Europe"" OR ""CIO Mobile"") SAP","Galaxy phones = DPP needed for EU sales."
Dell Technologies,Electronics Manufacturing,$103B,"133,000",SAP S/4HANA (enterprise-wide ERP),HIGH,"SVP Global Operations / Chief Supply Chain Officer","Dell (CSCO OR ""SVP Global Operations"") SAP","Laptop batteries = DPP needed for EU right-to-repair."
HP Inc.,Electronics Manufacturing,$63B,"51,000",SAP S/4HANA (post-HPE split),HIGH,"Chief Supply Chain Officer / VP Sustainability","""HP Inc"" (CSCO OR ""VP Sustainability"") SAP","Sustainability leader. DPP aligns with ESG goals."
Lenovo,Electronics Manufacturing,$62B,"77,000",SAP S/4HANA (global rollout 2019-2022),HIGH,"SVP Global Supply Chain / CIO","Lenovo (CIO OR ""SVP Supply Chain"") SAP","Chinese PC leader. EU compliance = market access."
Siemens (Industrial Automation / Energy Management),Electronics Manufacturing,$75B,"311,000",SAP S/4HANA (Siemens is SAP's development partner),MEDIUM,"Head of Digital Industries / CTO","Siemens (CTO OR ""Head of Digital Industries"") SAP","Siemens and SAP are strategic partners. High credibility potential."
ABB,Electronics Manufacturing,$30B,"105,000",SAP S/4HANA (Swiss engineering standard),MEDIUM,"Head of Electrification / CIO","ABB (CIO OR ""Head of Electrification"") SAP","Energy storage = DPP for grid-scale batteries."
Schneider Electric,Electronics Manufacturing,$35B,"150,000",SAP S/4HANA (French corporate ERP),MEDIUM,"EVP Energy Management / Chief Digital Officer","""Schneider Electric"" (CDO OR ""EVP Energy Management"") SAP","French sustainability leader. DPP = competitive advantage."
Flex Ltd. (formerly Flextronics),Electronics Manufacturing,$26B,"160,000",SAP S/4HANA (contract manufacturer standard),HIGH,"Chief Supply Chain Officer / CIO","Flex Flextronics (CSCO OR CIO) SAP","Contract manufacturer. DPP = service offering to OEM customers."
Jabil Inc.,Electronics Manufacturing,$35B,"260,000",SAP S/4HANA (global ERP),HIGH,"EVP Operations / Chief Procurement & Supply Chain Officer","Jabil (EVP OR ""Chief Procurement"") SAP","Contract manufacturer. DPP = value-add service for EU customers."